datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/12/12 23:05:54,GOES-13,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,0,0.77,-31.76,-53.85,
2017/12/13 05:11:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.18,0.03,-31.76493,-53.90263,
2018/03/14 17:24:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,58.25,0,-31.2301,-52.99458,
2018/03/11 04:18:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,2.55,0.32,-30.52061,-52.68193,
2017/12/13 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.06,-31.76324,-53.85847,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,,,,-31.7535,-53.31585,
2017/12/13 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.05,-31.77878,-53.88386,
2017/12/30 17:16:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACAPAVA DO SUL,Pampa,,,,-30.67467,-53.2725,
2018/02/08 16:24:00,NPP-375,Brasil,RIO GRANDE DO SUL,BARAO DO TRIUNFO,Pampa,0,1.25,0.12,-30.46609,-51.79715,
2018/02/09 17:42:00,NPP-375,Brasil,RIO GRANDE DO SUL,DOM FELICIANO,Pampa,0,4,0,-30.62194,-52.23193,
2018/02/05 17:18:00,NPP-375,Brasil,RIO GRANDE DO SUL,RIO GRANDE,Pampa,0,0,0.09,-31.9837,-52.30614,
2017/12/27 19:47:42,NOAA-19,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,0,0.34,-31.5448,-53.6863,
2017/12/13 01:05:57,GOES-13,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,5.65,0.06,-31.81,-53.86,
2018/03/28 19:17:14,GOES-16,Brasil,RIO GRANDE DO SUL,PEDRAS ALTAS,Pampa,0,0,0.03,-31.95,-53.7,
2018/02/27 17:06:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANGUCU,Pampa,0,0,0.06,-31.03694,-52.4401,
2017/12/13 05:10:00,NPP-375,Brasil,RIO GRANDE DO SUL,ELDORADO DO SUL,Pampa,0,5.05,0,-30.15871,-51.6391,
